1,3910,0,3910,100,none
2,3910,100,3910,200,PIONEER
3,3910,200,3910,300,none
4,3910,300,4010,300,none
5,4010,300,4110,300,none
6,4110,300,4210,300,none
7,4210,300,4210,200,none
8,4210,200,4210,100,none
9,4210,100,4210,0,EDGEBROOK
10,4210,0,4110,0,none
11,4110,0,4010,0,none
12,4010,0,3910,0,none
13,3910,0,3760,0,none
14,3760,0,3610,0,none
15,3610,0,3460,0,none
16,3460,0,3310,0,STATION16
17,3310,0,3160,0,none
18,3160,0,3010,0,none
19,3010,0,3010,150,none
20,3010,150,3010,300,none
21,3010,300,3010,600,none
22,3010,600,3010,900,WHITED
23,3010,900,3010,1200,none
24,3010,1200,3010,1500,none
25,3010,1500,3010,1700,none
26,3010,1700,3010,1800,none
27,3010,1800,3010,1850,none
28,3010,1850,3010,1900,none
29,3010,1900,3010,1950,none
30,3010,1950,3010,2000,none
31,3010,2000,3010,2050,SOUTH BANK
32,3010,2050,3010,2100,none
33,3010,2100,3010,2150,none
34,3010,2150,3045,2185,none
35,3045,2185,3095,2185,none
36,3095,2185,3145,2185,none
37,3145,2185,3195,2185,none
38,3195,2185,3245,2185,none
39,3245,2185,3295,2185,CENTRAL
40,3295,2185,3345,2185,none
41,3345,2185,3395,2185,none
42,3395,2185,3445,2185,none
43,3445,2185,3495,2185,none
44,3495,2185,3545,2185,none
45,3545,2185,3595,2185,none
46,3595,2185,3645,2185,none
47,3645,2185,3695,2185,none
48,3695,2185,3745,2185,INGLEWOOD
49,3745,2185,3795,2185,none
50,3795,2185,3845,2185,none
51,3845,2185,3895,2185,none
52,3895,2185,3945,2185,none
53,3945,2185,3995,2185,none
54,3995,2185,4045,2185,none
55,4045,2185,4095,2185,none
56,4095,2185,4145,2185,none
57,4145,2185,4195,2185,OVERBROOK
58,4195,2185,4280,2185,none
59,4195,2185,4245,2185,none
60,4245,2185,4280,2220,none
61,4280,2220,4280,2270,none
62,4280,2185,4280,2270,none
63,4280,2270,4280,2370,none
64,4280,2370,4280,2470,none
65,4280,2470,4280,2670,GLENBURY
66,4280,2670,4280,2870,none
67,4280,2870,4280,2970,none
68,4280,2970,4280,3070,none
69,4280,3070,4280,3170,none
70,4280,3170,4280,3270,none
71,4280,3270,4210,3340,none
72,4210,3340,4110,3340,none
73,4110,3340,4010,3340,DORMONT
74,4010,3340,3910,3340,none
75,3910,3340,3810,3340,none
76,3810,3340,3710,3340,none
77,3710,3340,3410,3340,MT LEBANON
78,3410,3340,3110,3340,none
79,3110,3340,2810,3340,none
80,2810,3340,2510,3340,none
81,2510,3340,2210,3340,none
82,2210,3340,1910,3340,none
83,1910,3340,1610,3340,none
84,1610,3340,1310,3340,none
85,1310,3340,1010,3340,none
86,1010,3340,910,3340,none
87,910,3340,825,3340,none
88,825,3340,725,3340,POPLAR
89,725,3340,650,3340,none
90,650,3340,650,3265,none
91,650,3265,650,3190,none
92,650,3190,650,3115,none
93,650,3115,725,3115,none
94,725,3115,800,3115,none
95,800,3115,875,3115,none
96,875,3115,950,3115,CASTLE SHANNON
97,950,3115,950,3190,none
98,950,3190,950,3265,none
99,950,3265,980,3303,none
100,980,3303,1010,3340,none
101,3710,3340,3710,3305,none
102,3710,3305,3810,3305,none
103,3810,3305,3910,3305,none
104,3910,3305,3990,3305,none
105,3990,3305,4090,3305,DORMONT
106,4090,3305,4190,3305,none
107,4190,3305,4255,3240,none
108,4255,3240,4255,3140,none
109,4255,3140,4255,3040,none
110,4255,3040,4255,2940,none
111,4255,2940,4255,2840,none
112,4255,2840,4255,2740,none
113,4255,2740,4255,2640,none
114,4255,2640,4255,2540,GLENBURY
115,4255,2540,4255,2440,none
116,4255,2440,4255,2340,none
117,4255,2340,4255,2290,none
118,4255,2290,4255,2240,none
119,4255,2240,4225,2210,none
120,4225,2210,4175,2210,none
121,4175,2210,4125,2210,none
122,4125,2210,4075,2210,none
123,4075,2210,4025,2210,OVERBROOK
124,4025,2210,3975,2210,none
125,3975,2210,3925,2210,none
126,3925,2210,3875,2210,none
127,3875,2210,3825,2210,none
128,3825,2210,3775,2210,none
129,3775,2210,3725,2210,none
130,3725,2210,3675,2210,none
131,3675,2210,3625,2210,none
132,3625,2210,3575,2210,INGLEWOOD
133,3575,2210,3525,2210,none
134,3525,2210,3475,2210,none
135,3475,2210,3425,2210,none
136,3425,2210,3375,2210,none
137,3375,2210,3325,2210,none
138,3325,2210,3275,2210,none
139,3275,2210,3225,2210,none
140,3225,2210,3175,2210,none
141,3175,2210,3125,2210,CENTRAL
142,3125,2210,3075,2210,none
143,3075,2210,3025,2210,none
144,3025,2210,2975,2210,none
145,2975,2210,2940,2175,none
146,2940,2175,2940,2125,none
147,2940,2125,2940,2075,none
148,2940,2075,2940,2035,none
149,2940,2035,2940,1995,none
150,2940,1995,3010,1900,none
